family,group,metric,n_pos,n_neg,auc,ci_lo,ci_hi,perm_p,bh_q,baseline_auc,delta_auc,delta_ci_lo,delta_ci_hi,beats_baseline,small_n,length_only_auc
By negative evidence,vs gold (both demonstrated grades),contact_prob_sum,23,8,0.6793478260869565,0.4891304347826087,0.8586956521739131,0.1451854814518548,0.2581075225810752,0.6902173913043478,-0.010869565217391242,-0.19021739130434784,0.18478260869565222,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),contact_prob_density,23,8,0.21195652173913043,0.07065217391304347,0.3804347826086957,0.0160983901609839,0.05151484851514848,0.6902173913043478,-0.47826086956521735,-0.7336956521739131,-0.18478260869565216,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),contact_prob_max,23,8,0.3858695652173913,0.16304347826086957,0.625,0.3541645835416458,0.42441470138700416,0.6902173913043478,-0.3043478260869565,-0.5679347826086956,-0.021739130434782594,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),n_contacts_p50,23,8,0.4891304347826087,0.26358695652173914,0.7119565217391305,0.9385061493850615,0.9385061493850615,0.6902173913043478,-0.20108695652173908,-0.47282608695652173,0.07880434782608697,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),contact_participation_ratio,23,8,0.6195652173913043,0.3804347826086957,0.842391304347826,0.3424657534246575,0.42441470138700416,0.6902173913043478,-0.07065217391304346,-0.34239130434782605,0.20108695652173914,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),plddt_mean,23,8,0.20652173913043478,0.05434782608695652,0.40217391304347827,0.013898610138986101,0.05151484851514848,0.6902173913043478,-0.48369565217391297,-0.75,-0.14673913043478265,False,False,0.8913043478260869
By negative evidence,vs inferred,iptm,23,11,0.8557312252964426,0.6936758893280632,0.9822134387351779,0.0007999200079992001,0.0025597440255974405,0.8458498023715415,0.009881422924901129,-0.11462450592885376,0.13833992094861658,False,False,0.5731225296442688
By negative evidence,vs inferred,chain_pair_iptm,23,11,0.8557312252964426,0.6936758893280632,0.9822134387351779,0.0007999200079992001,0.0025597440255974405,0.8458498023715415,0.009881422924901129,-0.11462450592885376,0.13833992094861658,False,False,0.5731225296442688
By negative evidence,vs inferred,ranking_score,23,11,0.7272727272727273,0.5454545454545454,0.8873517786561265,0.0326967303269673,0.04024212963319052,0.8458498023715415,-0.11857707509881421,-0.2964426877470355,0.06126482213438733,False,False,0.5731225296442688
By negative evidence,vs inferred,ptm,23,11,0.7984189723320159,0.6245059288537549,0.9426877470355731,0.0040995900409959,0.006879312068793121,0.8458498023715415,-0.04743083003952564,-0.2213438735177865,0.13043478260869568,False,False,0.5731225296442688
By negative evidence,vs inferred,fraction_disordered,23,11,0.5988142292490118,0.4090909090909091,0.766798418972332,0.33466653334666535,0.35697763556977635,0.8458498023715415,-0.24703557312252966,-0.466403162055336,-0.02371541501976282,False,False,0.5731225296442688
By negative evidence,vs inferred,chain_pair_pae_min,23,11,0.8616600790513834,0.7193675889328063,0.9841897233201581,0.00029997000299970003,0.0023997600239976003,0.8458498023715415,0.015810276679841917,-0.12252964426877477,0.15810276679841906,False,False,0.5731225296442688
By negative evidence,vs inferred,pae_inter_mean,23,11,0.7391304347826086,0.5533596837944664,0.8932806324110671,0.023697630236976304,0.031596840315968405,0.8458498023715415,-0.10671936758893286,-0.2845849802371542,0.07509881422924902,False,False,0.5731225296442688
By negative evidence,vs inferred,pae_inter_p05,23,11,0.8063241106719368,0.6482213438735178,0.9367588932806324,0.0025997400259974,0.0051994800519948,0.8458498023715415,-0.03952569169960474,-0.19762845849802368,0.1264822134387351,False,False,0.5731225296442688
By negative evidence,vs inferred,pae_inter_frac_lt10,23,11,0.8023715415019763,0.6679841897233202,0.9130434782608695,0.0021997800219978004,0.005028068621709258,0.8458498023715415,-0.04347826086956519,-0.1699604743083004,0.09486166007905139,False,False,0.5731225296442688
By negative evidence,vs inferred,pae_inter_frac_lt5,23,11,0.7747035573122529,0.650197628458498,0.8913043478260869,0.004299570042995701,0.006879312068793121,0.8458498023715415,-0.07114624505928857,-0.20355731225296447,0.07707509881422925,False,False,0.5731225296442688
By negative evidence,vs inferred,contact_prob_sum,23,11,0.8517786561264822,0.7114624505928854,0.9644268774703557,0.0006999300069993001,0.0025597440255974405,0.8458498023715415,0.005928853754940677,-0.11067193675889331,0.12845849802371545,False,False,0.5731225296442688
By negative evidence,vs inferred,contact_prob_density,23,11,0.766798418972332,0.5889328063241107,0.9110671936758893,0.0091990800919908,0.0133804801338048,0.8458498023715415,-0.07905138339920947,-0.2569169960474308,0.07905138339920947,False,False,0.5731225296442688
By negative evidence,vs inferred,contact_prob_max,23,11,0.8735177865612648,0.7470355731225297,0.9683794466403162,0.00029997000299970003,0.0023997600239976003,0.8458498023715415,0.02766798418972327,-0.09090909090909094,0.15612648221343872,False,False,0.5731225296442688
By negative evidence,vs inferred,n_contacts_p50,23,11,0.8102766798418972,0.691699604743083,0.9130434782608695,0.0017998200179982,0.0047995200479952005,0.8458498023715415,-0.035573122529644285,-0.16403162055335962,0.11264822134387353,False,False,0.5731225296442688
By negative evidence,vs inferred,contact_participation_ratio,23,11,0.6620553359683794,0.43478260869565216,0.8715415019762845,0.13288671132886712,0.151870527232991,0.8458498023715415,-0.1837944664031621,-0.40118577075098816,0.02766798418972327,False,False,0.5731225296442688
By negative evidence,vs inferred,plddt_mean,23,11,0.4624505928853755,0.26877470355731226,0.6561264822134387,0.7466253374662534,0.7466253374662534,0.8458498023715415,-0.383399209486166,-0.6363636363636365,-0.10671936758893286,False,False,0.5731225296442688
By negative evidence,vs absence_only,iptm,23,10,0.8282608695652174,0.658695652173913,0.9586956521739131,0.0024997500249975004,0.004999500049995001,0.6956521739130435,0.13260869565217392,-0.13260869565217392,0.408695652173913,False,False,0.49130434782608695
By negative evidence,vs absence_only,chain_pair_iptm,23,10,0.8282608695652174,0.658695652173913,0.9586956521739131,0.0024997500249975004,0.004999500049995001,0.6956521739130435,0.13260869565217392,-0.13260869565217392,0.408695652173913,False,False,0.49130434782608695
By negative evidence,vs absence_only,ranking_score,23,10,0.7673913043478261,0.5869565217391305,0.9173913043478261,0.014998500149985002,0.019998000199980003,0.6956521739130435,0.07173913043478264,-0.1978260869565217,0.35652173913043483,False,False,0.49130434782608695
By negative evidence,vs absence_only,ptm,23,10,0.6326086956521739,0.42391304347826086,0.8152173913043478,0.24397560243975602,0.27882925993114976,0.6956521739130435,-0.06304347826086953,-0.3782608695652174,0.2630434782608696,False,False,0.49130434782608695
By negative evidence,vs absence_only,fraction_disordered,23,10,0.40652173913043477,0.20434782608695654,0.6217391304347826,0.390960903909609,0.41702496417024965,0.6956521739130435,-0.2891304347826087,-0.5739130434782609,0.0,False,False,0.49130434782608695
By negative evidence,vs absence_only,chain_pair_pae_min,23,10,0.8565217391304348,0.717391304347826,0.9652173913043478,0.0006999300069993001,0.0035196480351964805,0.6956521739130435,0.16086956521739137,-0.06521739130434778,0.3956521739130435,False,False,0.49130434782608695
By negative evidence,vs absence_only,pae_inter_mean,23,10,0.7869565217391304,0.6043478260869565,0.9347826086956522,0.007999200079992,0.011635200116352001,0.6956521739130435,0.09130434782608698,-0.13913043478260867,0.33043478260869563,False,False,0.49130434782608695
By negative evidence,vs absence_only,pae_inter_p05,23,10,0.808695652173913,0.6391304347826087,0.9478260869565217,0.004199580041995801,0.007465920074659201,0.6956521739130435,0.11304347826086958,-0.12608695652173918,0.3652173913043478,False,False,0.49130434782608695
By negative evidence,vs absence_only,pae_inter_frac_lt10,23,10,0.7869565217391304,0.6391304347826087,0.9130434782608695,0.005599440055994401,0.008959104089591042,0.6956521739130435,0.09130434782608698,-0.13478260869565217,0.3413043478260869,False,False,0.49130434782608695
By negative evidence,vs absence_only,pae_inter_frac_lt5,23,10,0.8043478260869565,0.6956521739130435,0.9130434782608695,0.0024997500249975004,0.004999500049995001,0.6956521739130435,0.10869565217391308,-0.10434782608695647,0.33913043478260874,False,False,0.49130434782608695
By negative evidence,vs absence_only,contact_prob_sum,23,10,0.8739130434782608,0.7369565217391304,0.9739130434782609,0.00029997000299970003,0.0023997600239976003,0.6956521739130435,0.17826086956521736,-0.019565217391304346,0.3913043478260869,False,False,0.49130434782608695
By negative evidence,vs absence_only,contact_prob_density,23,10,0.8347826086956521,0.6804347826086956,0.9521739130434783,0.0008999100089991,0.0035196480351964805,0.6956521739130435,0.13913043478260867,-0.05217391304347829,0.34347826086956523,False,False,0.49130434782608695
By negative evidence,vs absence_only,contact_prob_max,23,10,0.8804347826086957,0.75,0.9760869565217392,0.00019998000199980003,0.0023997600239976003,0.6956521739130435,0.18478260869565222,-0.017391304347826098,0.4043478260869565,False,False,0.49130434782608695
By negative evidence,vs absence_only,n_contacts_p50,23,10,0.8260869565217391,0.717391304347826,0.9130434782608695,0.0010998900109989002,0.0035196480351964805,0.6956521739130435,0.13043478260869568,-0.07391304347826089,0.3608695652173912,False,False,0.49130434782608695
By negative evidence,vs absence_only,contact_participation_ratio,23,10,0.7347826086956522,0.5391304347826087,0.9,0.0364963503649635,0.044918585064570464,0.6956521739130435,0.03913043478260869,-0.17826086956521747,0.24347826086956526,False,False,0.49130434782608695
By negative evidence,vs absence_only,plddt_mean,23,10,0.4956521739130435,0.29130434782608694,0.6956521739130435,0.9858014198580142,0.9858014198580142,0.6956521739130435,-0.19999999999999996,-0.4913043478260869,0.11739130434782608,False,False,0.49130434782608695
By negative evidence,vs uncertain,iptm,23,2,0.8043478260869565,0.5869565217391305,0.967391304347826,,,0.7391304347826086,0.0652173913043479,-0.07608695652173914,0.26086956521739124,False,True,0.2608695652173913
